j,n,om1,om2,oc11,oc12,oc22
51,51,0.286667229147873,0.0330683570580179,0.167926642840683,0.0189747759361817,0.171694026247959
51,56,0.308973488347621,0.0532668274512895,0.167331873216047,0.0191500651438141,0.171284435136212
51,91,0.2247586114092,0.118575855995793,0.163586801527733,0.01997938394377,0.169009331449455
51,251,0.161863029814708,0.0872596526892646,0.157071167037245,0.0211138423161159,0.161891832778512
51,4000,0.178893614505411,0.124253350567745,0.15340653594699,0.0202595150390877,0.158668749444706
251,251,0.15534446098776,0.152863028274714,0.126086177847868,0.0426329407364312,0.113763702313476
251,256,0.173055359001526,0.15133380084398,0.125798573720149,0.0425680071463934,0.113606610485431
251,291,0.259101474987915,0.216001060004127,0.123693399281535,0.0420392586275043,0.112750073507403
251,451,0.128884339167794,0.193719147407636,0.118934846546294,0.0403526281168556,0.110241040566368
251,4000,0.186747036531163,0.200085819859201,0.116442572559266,0.0390486637284752,0.108686977116975
451,451,0.163475903596411,0.295252044770032,0.114189599994975,0.0426377381232314,0.0973777292740055
451,456,0.182688705614729,0.286791721976125,0.113923528048855,0.0425410468408751,0.0972585317501291
451,491,0.247871479988736,0.301582759395954,0.112086878075932,0.0418715044687325,0.0965603851204432
451,651,0.235949384897431,0.249636261785258,0.1072789860118,0.0399221768170916,0.0947353341005541
451,4000,0.280519286562552,0.312825552824452,0.104861261549344,0.038615967018555,0.0936046363192497
651,651,0.291126654997772,-0.100810072009796,0.10881597369702,0.0416378440336298,0.0952752458391546
651,656,0.297698173121223,-0.0955815993975241,0.10849849083985,0.0415205105934541,0.095170572439029
651,691,0.324105739138364,-0.0684293216675548,0.106426433429934,0.0407239878533844,0.0945243707245585
651,851,0.368751653962413,0.00370522632467704,0.100617144752659,0.0381542922437173,0.0928021125029265
651,4000,0.36874135465236,0.00564848891774633,0.0984024776823336,0.0369393115893829,0.0918269804814948
851,851,0.642363048480004,0.551440383410899,0.101852353788446,0.0386187684408599,0.0963343869670384
851,856,0.652015858284022,0.543394524157517,0.101411278956983,0.0384369407100279,0.0962322451489223
851,891,0.56974500004011,0.51646768777577,0.0988847725229422,0.0373814030734863,0.0956094446954741
851,1051,0.68228140546937,0.544572246005819,0.0932070963950337,0.0348414103777833,0.0940476659966451
851,4000,0.6415429503916,0.554581370925216,0.0914069260473148,0.0338790169665264,0.0931756801186361
1051,1051,0.610779391583942,0.142510856935397,0.09841118463242,0.0373799022253057,0.0981909122958017
1051,1056,0.60804513645851,0.133773199767257,0.0979260756465328,0.0371851652297988,0.0980927705160271
1051,1091,0.529847316871663,0.101654260327759,0.0952476304969685,0.0361181309983196,0.0975152696633776
1051,1251,0.472302446397313,0.106915246392387,0.0901678547401518,0.033987431244295,0.0960965595108899
1051,4000,0.50395239321152,0.150213122866888,0.0885765205236418,0.0331559576944931,0.0952674266187859
1251,1251,0.0155359168257549,0.196356661673171,0.100113840262765,0.0388037878026748,0.0991622561289404
1251,1256,0.0349278465873778,0.20510808444839,0.0997421230816142,0.0386694714152389,0.0990765352190787
1251,1291,0.0617199381378681,0.197176625398122,0.0974744670394613,0.037840778656881,0.0985530730906165
1251,1451,0.0497441026791238,0.240169790119248,0.0923631584438258,0.0358201794850816,0.0972364820735246
1251,4000,0.0821317829825242,0.271085446314913,0.0907331525807114,0.0350025854263433,0.0964655650175141
1451,1451,0.193438657573143,0.481518628621182,0.101227259398883,0.0394757835309497,0.0974346668744783
1451,1456,0.172500589533575,0.478469841408414,0.100841771859439,0.0393472141227849,0.097360379551369
1451,1491,0.171309980160911,0.48872549890379,0.0987313154591752,0.0386450330377443,0.0968927455332637
1451,1651,0.187229529350726,0.481230205517178,0.0938915284468926,0.0369096766748468,0.0957372664566176
1451,4000,0.265198288098869,0.535241201364146,0.0919480956197214,0.0359792037372626,0.0950778504630899
1651,1651,0.226620083567738,0.265272538059775,0.102297273751033,0.0402656198740982,0.0952688759524542
1651,1656,0.268259795909727,0.280255276023482,0.10191061432887,0.0401545234746569,0.0952069602255101
1651,1691,0.288702351331412,0.305066578461094,0.0995849709206587,0.0394626301971205,0.0948227129865256
1651,1851,0.367662937905658,0.331017515314874,0.0936213993732903,0.0374182888632029,0.0938640530528144
1651,4000,0.404567705997139,0.360096704441863,0.0914937665266444,0.0363756634460783,0.0932368595121352
