t,online_mean,online_cov
0,1.76268162938386,0.0723853079140595
0.001,1.75839217954146,0.0727632375452304
0.002,1.75422340155023,0.073137631770863
0.003,1.75017368217092,0.0735084773314024
0.004,1.7462605327654,0.0738757643295271
0.005,1.74247516945099,0.074239472416198
0.006,1.73902912911015,0.0745995856144554
0.007,1.73584941470861,0.0749559987067785
0.008,1.73275237853638,0.0753086401152425
0.009,1.72949602407627,0.0756575077047834
0.01,1.72594145246285,0.0760027016773334
0.011,1.72243654667849,0.0763443763037129
0.012,1.71919437941615,0.0766825347890684
0.013,1.71624736650342,0.0770171008318524
0.014,1.71355879631623,0.0773479824376445
0.015,1.7110694189463,0.0776751025515704
0.016,1.70861869199832,0.0779984061509657
0.017,1.70637375073204,0.0783179074397871
0.018,1.70441486959534,0.0786335390416432
0.019,1.70254847921498,0.0789452073677958
0.02,1.70075751207517,0.0792529015611022
0.021,1.69880280936982,0.0795566094916467
0.022,1.69660327697361,0.0798564360215133
0.023,1.69424715767743,0.0801525067396071
0.024,1.69182722844261,0.0804449122599979
0.025,1.68948941844299,0.0807337021861737
0.026,1.68718410452864,0.081018861772462
0.027,1.68496387890774,0.0813004063167509
0.028,1.68283007847062,0.0815783180350796
0.029,1.68088026115141,0.0818525860142894
0.03,1.67909008265404,0.0821231471431548
0.031,1.67736479076753,0.0823899584951485
0.032,1.67565957312708,0.0826530147281266
0.033,1.67391015311553,0.0829123295221038
0.034,1.67217778053124,0.0831679465987234
0.035,1.67064209108989,0.0834198747580544
0.036,1.66945811875947,0.0836680409843486
0.037,1.66850606898116,0.0839123051719112
0.038,1.66758567779629,0.0841525910543125
0.039,1.66659092965957,0.0843889080636732
0.04,1.66561804191121,0.0846213103046835
0.041,1.66461364465731,0.0848497976308852
0.042,1.66348076038688,0.0850744104221248
0.043,1.66234465690313,0.0852952269156359
0.044,1.66129101413078,0.0855122571399622
0.045,1.66027049056372,0.0857254809276512
0.046,1.65927866402941,0.0859349041158535
0.047,1.65831081262876,0.0861405288072217
0.048,1.6574309248983,0.0863423624851893
0.049,1.65652453227819,0.0865403756334938
0.05,1.65550104628866,0.0867346100231611
0.051,1.65426951892759,0.086925136747279
0.052,1.65312961646594,0.0871120795338686
0.053,1.65225773096672,0.0872953849154384
0.054,1.65141916961527,0.0874749485251435
0.055,1.65059373634041,0.0876507892844362
0.056,1.64974531358559,0.0878229075942215
0.057,1.64898715930555,0.0879913394807397
0.058,1.64821175033753,0.0881560427146316
0.059,1.64717293428858,0.0883170613881484
0.06,1.64601611940089,0.0884745500924203
0.061,1.64494532706554,0.0886285599723169
0.062,1.64379462689623,0.088779060203358
0.063,1.64257030180323,0.088926127184557
0.064,1.64114131132798,0.0890697990176869
0.065,1.6394722211096,0.0892102153334299
0.066,1.63759225046936,0.0893474991441624
0.067,1.63561531370631,0.0894817746097278
0.068,1.63361342170265,0.089613092732412
0.069,1.63181442740244,0.0897414859141468
0.07,1.63020503421855,0.0898668509163978
0.071,1.62871748052449,0.0899891317141831
0.072,1.62720059239683,0.0901082841185506
0.073,1.62558463913708,0.0902243592979528
0.074,1.62382736040607,0.0903374187619308
0.075,1.62180978124399,0.0904475568873989
0.076,1.6195193857304,0.0905549297367063
0.077,1.61724004662898,0.0906596852852784
0.078,1.61495801671304,0.0907618054996125
0.079,1.61268245538488,0.0908613329962661
0.08,1.61039723204226,0.0909582689170449
0.081,1.60803876266401,0.0910526484611879
0.082,1.60565939029623,0.0911445277668589
0.083,1.60339569301811,0.0912339286166539
0.084,1.60142922848412,0.0913208002990978
0.085,1.59955844487832,0.0914050012026698
0.086,1.59753411880677,0.0914865387293783
0.087,1.59542918917288,0.091565517671657
0.088,1.59324570926538,0.0916419782841664
0.089,1.59111630654565,0.0917159880025605
0.09,1.58913488713336,0.0917875130013978
0.091,1.58715621097375,0.0918565005082504
0.092,1.58524488536287,0.0919229857110123
0.093,1.58327127908096,0.0919869311329551
0.094,1.58122090595147,0.0920484177076608
0.095,1.57900855655662,0.0921074818259057
0.096,1.57682650172252,0.0921642466082017
0.097,1.57482371054695,0.0922186701637831
0.098,1.57296134994508,0.092270686313527
0.099,1.57121629161463,0.0923202444451804
0.1,1.56948103406118,0.0923673044491278
0.101,1.56777043403866,0.0924118927592457
0.102,1.56601714270448,0.092454000546564
0.103,1.5641563010985,0.0924936832476652
0.104,1.56243896875783,0.0925310087818272
0.105,1.56077855059546,0.0925658825622545
0.106,1.55887095874906,0.092598330659665
0.107,1.5570620449099,0.0926285188679197
0.108,1.55549535992145,0.0926563410814736
0.109,1.55389575125884,0.092681714272681
0.11,1.55213151492491,0.0927047020051399
0.111,1.55030667525962,0.0927254033317127
0.112,1.54862019540411,0.0927438438899264
0.113,1.54698363369489,0.0927599476051448
0.114,1.54520295135707,0.0927737333068945
0.115,1.54340281784488,0.0927853033187618
0.116,1.54152182742849,0.092794649410667
0.117,1.53929718992921,0.0928018584778383
0.118,1.53704764097653,0.0928071469554589
0.119,1.53502932764619,0.0928104665929697
0.12,1.53299168198484,0.0928117187987893
0.121,1.53095683685557,0.0928109729318141
0.122,1.52901808149453,0.0928082088897265
0.123,1.52682245208545,0.0928033963214029
0.124,1.52448078065449,0.0927967452297508
0.125,1.52206690666398,0.0927882795492063
0.126,1.51959205910933,0.09277807656121
0.127,1.51715478251067,0.0927661618301467
0.128,1.51488275466578,0.0927525242396097
0.129,1.51267888789332,0.0927370755305729
0.13,1.51045160434022,0.0927198271660159
0.131,1.50825740684797,0.0927008019321012
0.132,1.50611958696503,0.0926799871697877
0.133,1.50384672064983,0.0926573695069181
0.134,1.50140199573208,0.0926330676574011
0.135,1.49874128767704,0.0926071639590984
0.136,1.49607206882758,0.0925798003630039
0.137,1.49343039886661,0.0925509399925941
0.138,1.49074961794729,0.0925206105182718
0.139,1.48800697447873,0.0924888404941825
0.14,1.48538181363886,0.0924556815809455
0.141,1.48284474708144,0.0924210474836567
0.142,1.48039084858417,0.0923849399237673
0.143,1.47800029303692,0.0923473105363293
0.144,1.47554636963749,0.0923081571493533
0.145,1.4728780018625,0.0922675395329738
0.146,1.47006911687852,0.0922255993772831
0.147,1.46700021606372,0.0921823890565375
0.148,1.46362227386877,0.0921380970911026
