index,filter_mean,filter_cov,smoother_mean,smoother_cov,ACI_metric
1,4,0.1,4.07806992659938,0.0845410455895313,0.0371463066138147
41,3.60696524817859,0.0954778171274035,3.71191372213518,0.0807632947280983,0.0643076648628149
81,3.27181078896343,0.0936980638386392,3.41920851897189,0.0789501512656716,0.122868014171112
121,3.06264311945992,0.0931993137297232,3.17187407681588,0.0780012641418717,0.0714826001574127
161,2.82719494231558,0.0908067065890243,2.89947454570589,0.0754418352797287,0.0368497889929948
201,2.61776256623093,0.0896823993106561,2.66087258683197,0.0736296915778863,0.0194769670568496
241,2.46143843717843,0.088579216127666,2.43308950746971,0.0715820923147857,0.0151194889145127
281,2.27949092500189,0.0856787822915496,2.17790606889965,0.067875312218476,0.07279173614053
321,1.99256374111272,0.0857227475440024,1.97241647856747,0.0658569226518487,0.0183118841114242
361,1.8688811613641,0.0906610828100759,1.85283373880421,0.066741836247825,0.0226526006356794
401,1.85312717179655,0.0940191931927797,1.72011012358905,0.0658521708704039,0.122344609263351
441,1.68504696720343,0.0982786741253909,1.60029746876197,0.0646534456781348,0.074853382828103
481,1.55671600814209,0.108411267340266,1.55002185667083,0.0658922098835639,0.0530618450619307
521,1.57162462222976,0.12155774522619,1.53144972722007,0.0674458509919619,0.0785941784193524
561,1.50603222955002,0.137736487219241,1.53628359544276,0.0689251673778699,0.0996892076900037
601,1.57876744991123,0.156262687927623,1.55559303608668,0.0697619113894467,0.128163576553563
641,1.49448754944624,0.181766608875844,1.61227673493175,0.0714462588257143,0.201587064284113
681,1.62284513941778,0.21654020248583,1.71084686714732,0.074322633329209,0.224176193672057
721,1.69229872093764,0.257519306187759,1.82695127876579,0.0768383314301301,0.289088783334234
761,1.75336212256375,0.305985655258805,1.96232756696176,0.079126907042758,0.376894941649489
801,1.93115856114764,0.370659526009964,2.14200401556416,0.082881400817309,0.420707744274605
841,2.05347016924869,0.444013690405669,2.3364027703662,0.0862065857829316,0.506775487035876
881,2.11867207094394,0.543677160359018,2.58778041899885,0.0918398304473452,0.676000061161424
921,2.4321617883115,0.672602467740333,2.89283752988923,0.0998081605545754,0.685909704299523
961,2.8942953072232,0.801774079618639,3.19385917484033,0.106655101343231,0.631087706191701
1001,3.05806956346682,0.956826393973771,3.54109303561365,0.115447094649031,0.73965247314739
1041,3.85631627055534,1.10482303968038,3.89141315433516,0.123838626777727,0.650832581340064
1081,4.12835631244017,1.23148057968103,4.23528333633801,0.131206615855307,0.677513602528649
1121,4.53380135094313,1.33662945757347,4.58201477073551,0.138144256966015,0.687349855456359
1161,4.11639764395705,1.50427518845542,5.0336886895709,0.150461427939971,0.980868293402092
1201,4.33674578388866,1.76016954284476,5.62334758083565,0.170722766625218,1.18528126197975
1241,5.09223093963826,2.03823635784059,6.28770762834752,0.196325117068561,1.06878312030387
1281,5.51694586556624,2.26666770017299,6.97104677504249,0.224455218286608,1.17212071775821
1321,5.61036461487137,2.48943842448921,7.72796066727468,0.259014673300174,1.58413408124941
1361,5.52234393963908,2.7738562830981,8.62749060877828,0.305738928684512,2.39574397723365
1401,7.23917791732768,2.96914250556723,9.56955162629884,0.359523212926867,1.5306816052296
1441,9.09536947728655,2.82457352331048,10.3450564872531,0.404949562468517,0.81931031635279
1481,10.8584201208755,2.31462076030525,10.7839782467987,0.427171619758333,0.438381531118143
1521,9.98307551001678,1.85398150596136,11.0523762719171,0.437290151419911,0.648544122718145
1561,10.1496907347824,1.42334060025076,11.0637634503943,0.428886728440899,0.543956388595526
1601,9.87207367854759,1.01775541681561,10.6779960581474,0.393332990710446,0.487674561557706
1641,9.17391779831407,0.719220266720542,10.0405173783276,0.344256714784265,0.629805946855831
1681,8.99911604478893,0.482854971306651,9.05802856092013,0.28028628547625,0.0657849100196679
1721,8.09502359412133,0.303854175725894,7.73247926658622,0.208656359458526,0.247564419568747
1761,6.68657664948843,0.185745473414774,6.26058773086038,0.145005231121012,0.502618676403847
1801,5.04861976207961,0.120937614414104,4.98002768041786,0.102048617296858,0.0262704293194929
1841,4.08614069464758,0.0873690345841962,3.99829705401617,0.0768082037086466,0.0481370823519268
1881,3.2665751882913,0.0670046339289387,3.16499221985318,0.0603051395645123,0.0796823337335841
1921,2.59949706279027,0.0565270855115735,2.53048748253942,0.0512910121571373,0.0444117093102338
1961,2.1058566853309,0.0521472345707749,2.06546518133687,0.0471669607773733,0.0180796567128398
2001,1.78814955882873,0.0517394106068603,1.73741016746803,0.0462209410106497,0.0279433014431832
2041,1.52450207910319,0.0529041752022853,1.47730346558113,0.0463249144204319,0.0252744367024339
2081,1.29393675753343,0.0567655781327034,1.30322716797399,0.0482455556416755,0.00702777534287984
2121,1.18966762553047,0.0625097500252968,1.1877562643141,0.0510939920098562,0.00954521635001865
