t,online_mean,online_cov
0,0.237217633856604,0.0955342271371396
0.002,0.0773061492170342,0.0953608862454479
0.004,0.0962851932743025,0.0951880424117123
0.006,0.067425987207142,0.0950156956061372
0.008,0.173036034221052,0.0948438458254209
0.01,0.112108856645544,0.0946724930921318
0.012,-0.00981543028440166,0.0945016374540943
0.014,0.0182938101467457,0.0943312789837746
0.016,-0.0329208741371527,0.094161417777678
0.018,-0.02597132896991,0.093992053955743
0.02,-0.0504408960261941,0.0938231876607516
0.022,-0.113594802806965,0.0936548190577371
0.024,-0.22698561400795,0.0934869483334001
0.026,-0.205401788272864,0.0933195756955305
0.028,-0.330422344707326,0.0931527013724345
0.03,-0.29158095876024,0.0929863256123695
0.032,-0.223696691595542,0.0928204486829768
0.034,-0.18651035267946,0.0926550708707308
0.036,-0.228627004194586,0.0924901924803876
0.038,-0.20773525470291,0.0923258138344375
0.04,-0.296018759717444,0.0921619352725688
0.042,-0.428707894707576,0.0919985571511318
0.044,-0.320133258189317,0.0918356798426135
0.046,-0.257507082754044,0.0916733037351116
0.048,-0.239810874860865,0.0915114292318213
0.05,-0.324405193573846,0.0913500567505225
0.052,-0.166856958960745,0.0911891867230758
0.054,-0.0850795765766775,0.0910288195949208
0.056,-0.0422558543624982,0.0908689558245836
0.058,0.0940116221609584,0.0907095958831883
0.06,0.0375938129098736,0.0905507402539746
0.062,0.0489026600045666,0.0903923894318207
0.064,-0.105323675391624,0.090234543922771
0.066,-0.148102508209633,0.0900772042435729
0.068,-0.159397326592679,0.0899203709212148
0.07,-0.139411431750699,0.0897640444924728
0.072,-0.154614508818625,0.0896082255034621
0.074,-0.228398682971404,0.0894529145091948
0.076,-0.231701497251593,0.089298112073142
0.078,-0.221839134322414,0.0891438187668016
0.08,-0.199387315009735,0.0889900351692753
0.082,-0.269742254737957,0.0888367618668463
0.084,-0.262993861200113,0.0886839994525646
0.086,-0.241665432891901,0.08853174852584
0.088,-0.181737460041244,0.088380009692037
0.09,-0.0597358581984045,0.088228783562079
0.092,-0.0583690266097447,0.088078070752056
0.094,-0.0911668240744723,0.0879278718828374
0.096,-0.134701307688646,0.0877781875796929
0.098,-0.105805556641077,0.087629018471916
0.1,-0.199485536128547,0.0874803651924566
