t,online_mean,online_cov
0,0.3,0.1
0.002,0.114660440457269,0.0998211764705882
0.004,0.136765847922477,0.0996428285933975
0.006,0.103360266738994,0.0994649564096065
0.008,0.22604461922136,0.099287559991427
0.01,0.155487738472331,0.0991106394414095
0.012,0.0140132397371339,0.0989341948917534
0.014,0.0466353126425243,0.0987582265036234
0.016,-0.0128471412117211,0.0985827344664712
0.018,-0.00482702087803059,0.098407718997362
0.02,-0.0333020992807455,0.0982331803403072
0.022,-0.106760408201382,0.0980591187656024
0.024,-0.238684133204017,0.0978855345691709
0.026,-0.213887964123129,0.0977124280719126
0.028,-0.359471741169499,0.097539799619059
0.03,-0.314736908375934,0.0973676495795331
0.032,-0.236187288082959,0.0971959783453154
0.034,-0.193242534008484,0.0970247863308158
0.036,-0.242467454715059,0.0968540739722503
0.038,-0.218473192365699,0.0966838417270246
0.04,-0.321434054254348,0.0965140900731223
0.042,-0.476168845884311,0.0963448195084994
0.044,-0.350413471491396,0.0961760305504848
0.046,-0.277974516712738,0.0960077237351862
0.048,-0.257732847806508,0.0958398996169017
0.05,-0.356503553508822,0.0956725587675379
0.052,-0.173584695448409,0.0955057017760331
0.054,-0.0786456576981882,0.0953393292477864
0.056,-0.0289396876451838,0.0951734418040939
0.058,0.129606063934767,0.0950080400815887
0.06,0.0640041349752318,0.0948431247316889
0.062,0.0771837351311197,0.0946786964200502
0.064,-0.10238232359783,0.0945147558260249
0.066,-0.152370669073781,0.0943513036421268
0.068,-0.165749657153181,0.0941883405735021
0.07,-0.142709795129512,0.0940258673374065
0.072,-0.160635591721301,0.0938638846626876
0.074,-0.246831142211516,0.0937023932892743
0.076,-0.251011184268136,0.0935413939676712
0.078,-0.23985757802574,0.0933808874584598
0.08,-0.21402174019803,0.0932208745318054
0.082,-0.296315599989617,0.0930613559669698
0.084,-0.288843374464255,0.0929023325518307
0.086,-0.264369554013729,0.0927438050824066
0.088,-0.194872510946403,0.0925857743623876
0.09,-0.0529281888842897,0.092428241202673
0.092,-0.0514643627203118,0.0922712064209144
0.094,-0.0898353938152212,0.0921146708410646
0.096,-0.14077312379234,0.0919586352929335
0.098,-0.107305430337457,0.0918031006117488
0.1,-0.216756506309764,0.0916480676377242
0.102,-0.215725597626283,0.0914935372156323
0.104,-0.304477049699375,0.0913395101943841
0.106,-0.183689944489526,0.0911859874266152
0.108,-0.0678383752823948,0.0910329697682765
0.11,-0.154203404623872,0.0908804580782329
0.112,-0.263682613785545,0.0907284532178659
0.114,-0.174339053953723,0.0905769560506841
0.116,-0.0863672358607166,0.0904259674419386
0.118,-0.143298171054049,0.0902754882582446
0.12,-0.218701862253431,0.0901255193672094
0.122,-0.36209768567041,0.0899760616370657
0.124,-0.497642864101672,0.0898271159363116
0.126,-0.527061433480627,0.0896786831333559
0.128,-0.433760803903959,0.0895307640961698
0.13,-0.622129920249689,0.0893833596919444
0.132,-0.66394292975864,0.0892364707867539
0.134,-0.449659784625545,0.0890900982452251
0.136,-0.592205365086028,0.0889442429302121
0.138,-0.554729923476016,0.0887989057024779
0.14,-0.498349474482892,0.0886540874203808
0.142,-0.560813509701486,0.088509788939567
