t,x,filter_mean,filter_cov,smoother_mean,smoother_cov,ACI_metric,signal_part,dispersion_part,E_j,F_j
0,4,4,0.1,4.07803993502614,0.0845412263449841,0.0371227314508681,0.0304511572944191,0.00667157415644903,0.998,0.000888888888888939
0.005,3.98858212278435,3.98492538790416,0.0998611111111111,4.06817628760134,0.0844289421134378,0.041368632930436,0.034701758388603,0.00666687454183301,0.99797090555294,0.00089799658530738
0.01,4.0093026677921,3.98423746795658,0.0997282295467185,4.05845416975211,0.0843211331997286,0.0342783622569335,0.0276156452914215,0.00666271696551202,0.998006342337982,0.000885717098852667
0.015,3.98818359612693,3.96483426935851,0.0995870593608452,4.04854766051522,0.084206892633114,0.0418429730311538,0.0351849522615346,0.00665802076961919,0.997957707811325,0.000901266893422873
0.02,3.96062954441783,3.94288718132874,0.0994561948956031,4.03888049904435,0.0841004078451269,0.0529796989346022,0.0463255056948559,0.00665419323974625,0.997896654055712,0.000920585777995301
0.025,3.96436400946604,3.93502442055945,0.0993383740119217,4.02951595790617,0.0840037858898394,0.0515920212152943,0.0449405917851816,0.00665142943011265,0.997898756550444,0.000919442204492102
0.03,3.95181715338956,3.92003353826962,0.0992196816423699,4.02013769755654,0.0839064014426538,0.0571469438913815,0.0504982607314738,0.00664868315990763,0.997868243822238,0.000928730465308157
0.035,3.9904187558449,3.92749739635679,0.0991072943849252,4.01090909498968,0.0838137423688059,0.0417473946460422,0.0351009050948389,0.00664648955120328,0.997940303913303,0.000905075330641375
0.04,3.96689421238338,3.90748028243497,0.098978665020495,4.0013176594287,0.0837085708002064,0.0511247361867503,0.0444815724643255,0.00664316372242479,0.997887354100695,0.000921672039382273
0.045,3.96718103491318,3.89817549057036,0.098861231809072,3.99198621024917,0.0836118552866155,0.0511498759655682,0.0445091112340742,0.006640764731494,0.997882527222481,0.000922748531816573
0.05,3.953123335652,3.88264789843266,0.0987444475450453,3.98267556630346,0.0835155390474812,0.0573022806980619,0.0506637820577529,0.00663849864030897,0.99784902840549,0.000932921741796691
0.055,3.94440416396108,3.86962420440899,0.0986345892563514,3.97352843918366,0.0834244261895251,0.0613645406335084,0.0547277080256877,0.00663683260782066,0.997826514274763,0.00093956089250726
0.06,3.93824629916277,3.85782962552666,0.0985292601401065,3.96449083993636,0.0833366883947541,0.0643677479556669,0.0577321632334117,0.00663558472225523,0.997809321390908,0.000944504982744975
0.065,3.9593323969897,3.85787343442713,0.0984273024605113,3.95553678136194,0.0832514427041702,0.0550873276882004,0.0484526604715994,0.006634667216601,0.997846762600678,0.000932367123474178
0.07,3.96109166363021,3.84942613900219,0.0983168043336377,3.94639648986012,0.083159567284949,0.0544543658218713,0.0478211685644345,0.00663319725743672,0.997845142779106,0.000932435149327832
0.075,3.91563859054814,3.82056302183693,0.098206263366669,3.93726174724137,0.0830675647684758,0.075968488464168,0.0693366799843177,0.00663180847985034,0.997749084716244,0.000961741657158065
0.08,3.89511087484674,3.80303551751468,0.0981162206627465,3.92859813373418,0.0829911769858645,0.0869753620451196,0.0803433442777927,0.00663201776732691,0.997703824139182,0.000975041887508125
0.085,3.94746690770988,3.81672093714343,0.0980356622862315,3.92015727122074,0.0829219839013955,0.0612002580283073,0.0545672613304496,0.00663299669785766,0.997804767446307,0.000943931784122472
