t,x,filter_mean,filter_cov,smoother_mean,smoother_cov,ACI_metric,signal_part,dispersion_part,E_j,F_j
0,1,2,0.1,1.76723801311136,0.0722889461838171,0.294584921972128,0.270890712701744,0.0236942092703846,0.9905,0.00760000000000005
0.001,1.00573362474247,1.99938689979398,0.10074,1.76298638375705,0.0726696699121479,0.301362197901582,0.277373456335742,0.0239887415658402,0.990573456422474,0.0076405985765136
0.002,0.990658000221914,1.98188736722385,0.101475015885517,1.7586947954489,0.0730468281292691,0.269735271266952,0.245454133023813,0.0242811382431398,0.990645357541721,0.00752315585653683
0.003,0.987497592991585,1.97423025710046,0.102211849909164,1.75461499342091,0.0734204726711827,0.260516497015095,0.235935774980587,0.0245807220345085,0.99071639857914,0.00749624492089053
0.004,0.975039739502355,1.95908001898355,0.102946635444448,1.75060149500651,0.0737905569091177,0.235978500697419,0.211096238220907,0.0248822624765113,0.990786229407277,0.00739880967359326
0.005,0.968871178077998,1.94916778226742,0.103682479940268,1.74676432188349,0.074157089734391,0.222750708960321,0.19756067176919,0.0251900371911311,0.990855168968025,0.00734914955868091
0.006,0.93038503165791,1.91333893589805,0.104417338255661,1.74302719442831,0.0745200360100074,0.16439630138984,0.138894985100236,0.0255013162896042,0.990923046433615,0.00705448693902882
0.007,0.919247539974118,1.9002010673203,0.105161916153537,1.73976375852077,0.0748793894930222,0.14821411505969,0.122383325619773,0.0258307894399172,0.990990854136397,0.00696730098890058
0.008,0.917486706373546,1.89446621702223,0.105907233332444,1.73665017203587,0.0752349955916884,0.143750019990165,0.117583583630011,0.0261664363601541,0.991057774303659,0.00695121973622311
0.009,0.944732452615459,1.91128048065965,0.106650258687093,1.73358070061564,0.0755868244800286,0.174545144041254,0.148040952813522,0.0265041912277324,0.991123557670554,0.00715483577907755
0.01,0.974115147409114,1.9302905026469,0.10738118021131,1.73023296371824,0.0759348877844519,0.213190243368982,0.186359559484427,0.0268306838845551,0.991187381177669,0.00737451464251081
0.011,0.954380703631178,1.90875572436212,0.108098735001093,1.72657474853701,0.0762793290869854,0.180660640119827,0.153516634363256,0.0271440057565706,0.991249197943992,0.00722237624196163
0.012,0.93351651287921,1.8867338044709,0.108820340243052,1.72317470283517,0.0766203073735788,0.15038389139117,0.122916265783288,0.0274676256078823,0.991310541505692,0.00706178976481745
0.013,0.907895301373271,1.8613357919427,0.109546405806982,1.72003995044751,0.0769577497175508,0.118925783818387,0.0911235502286232,0.0278022335897634,0.991371448564347,0.00686533574252833
