t,x,filter_mean,filter_cov,smoother_mean,smoother_cov,ACI_metric,signal_part,dispersion_part,E_j,F_j
0,0.7,0.3,0.1,0.237795863128246,0.0956035637152188,0.0198446364307304,0.0193467732197995,0.000497863210930927,0.996458823529412,-1.46454740484429
0.002,0.592108499578399,0.114660440457269,0.0998211764705882,0.0772277808852617,0.0954300210407071,0.00751702877878585,0.00701857086931163,0.000498457909474226,0.996449783270947,-1.46453128817394
0.004,0.605239729702994,0.136765847922477,0.0996428285933975,0.0962853043241666,0.0952569750890414,0.00872178673601928,0.00822274133094666,0.000499045405072618,0.996440728865561,-1.46451514776216
0.006,0.585905885193245,0.103360266738994,0.0994649564096065,0.0673067744255587,0.0950844258287092,0.00703385818353165,0.00653423253232023,0.000499625651211422,0.996431660238048,-1.46449898354907
0.008,0.657939580913784,0.22604461922136,0.099287559991427,0.173355741717572,0.0949123732547759,0.0144803881286807,0.0139801895265073,0.000500198602173429,0.996422577317366,-1.46448279548161
0.01,0.61712441047147,0.155487738472331,0.0991106394414095,0.112176393965999,0.0947408173882622,0.00996429191056535,0.00946352769752378,0.000500764213041571,0.996413480036645,-1.46446658351349
0.012,0.534543143973848,0.0140132397371339,0.0989341948917534,-0.0102568773366315,0.0945697582755261,0.00347824353062767,0.00297692109092698,0.000501322439700691,0.996404368333183,-1.46445034760522
0.014,0.553513539323236,0.0466353126425243,0.0987582265036234,0.0179684903226301,0.0943991959876507,0.00466247196065928,0.00416059872182007,0.000501873238839212,0.996395242148451,-1.4644340877241
0.016,0.518634839320804,-0.0128471412117211,0.0985827344664712,-0.0334625664735314,0.0942291306198378,0.00265794492200478,0.00215552835405386,0.000502416567950914,0.996386101428091,-1.46441780384423
0.018,0.523107731063708,-0.00482702087803059,0.098407718997362,-0.0264858970015429,0.0940595622908061,0.00288643876076043,0.00238348637542461,0.00050295238533582,0.996376946121917,-1.4644014959465
0.02,0.506233152327754,-0.0333020992807455,0.0982331803403072,-0.051060877025627,0.0938904911421959,0.00210871314842686,0.00160523249832467,0.000503480650102195,0.996367776183913,-1.46438516401859
0.022,0.462930529653046,-0.106760408201382,0.0980591187656024,-0.114484833616652,0.0937219173379786,0.000808239973029902,0.000304238650862799,0.000504001322167102,0.996358591572235,-1.46436880805497
0.024,0.385170057762332,-0.238684133204017,0.0978855345691709,-0.228361041474854,0.0935538410638722,0.00104885537912847,0.000544341016871177,0.000504514362257291,0.996349392249206,-1.4643524280569
0.026,0.398750855512136,-0.213887964123129,0.0977124280719126,-0.206691402528529,0.093386262526762,0.000770034632301028,0.000265014900390944,0.000505019731910084,0.996340178181317,-1.46433602403244
0.028,0.312672687019357,-0.359471741169499,0.097539799619059,-0.332251463896991,0.0932191819541272,0.00430367720970295,0.0037981598162288,0.000505517393474153,0.99633094933922,-1.4643195959964
0.03,0.337540025834652,-0.314736908375934,0.0973676495795331,-0.293252074992197,0.0930525995934728,0.00287639453584757,0.00237038722573815,0.000506007310109413,0.996321705697733,-1.46430314397038
0.032,0.382333264548108,-0.236187288082959,0.0971959783453154,-0.225083982069377,0.092886515711767,0.00114068957695567,0.000634200131168211,0.000506489445787461,0.996312447235827,-1.46428666798276
0.034,0.406532302507231,-0.193242534008484,0.0970247863308158,-0.187743830621697,0.0927209305948848,0.000662778274549115,0.000155814509257314,0.000506963765291801,0.99630317393663,-1.46427016806865
0.036,0.376933056188391,-0.242467454715059,0.0968540739722503,-0.230047710209684,0.0925558445470564,0.00130373155254404,0.000796301318326531,0.00050743023421751,0.996293885787418,-1.46425364426995
0.038,0.390018020290032,-0.218473192365699,0.0966838417270246,-0.209071989332503,0.0923912578903218,0.000964959084760273,0.000457070265789148,0.000507888818971125,0.996284582779611,-1.46423709663528
0.04,0.328907684437069,-0.321434054254348,0.0965140900731223,-0.297744448560369,0.0922271709639906,0.00341567362581142,0.00290733413904144,0.000508339486769982,0.996275264908768,-1.46422052522
0.042,0.237192344922817,-0.476168845884311,0.0963448195084994,-0.431018536186116,0.0920635841241081,0.0110882325395701,0.0105794503339282,0.000508782205641878,0.99626593217458,-1.46420393008621
0.044,0.309051215780235,-0.350413471491396,0.0961760305504848,-0.321981220988897,0.0919004977429261,0.00471189023011619,0.00420267328569212,0.000509216944424074,0.996256584580867,-1.4641873113027
0.046,0.350116564468034,-0.277974516712738,0.0960077237351862,-0.259089801226092,0.09173791220838,0.00236695506989176,0.00185731139712925,0.000509643672762516,0.996247222135567,-1.46417066894498
0.048,0.360882557317249,-0.257732847806508,0.0958398996169017,-0.241323306666503,0.0915758279235715,0.00191486892654878,0.00140480656543805,0.00051006236111073,0.996237844850729,-1.46415400309525
0.05,0.302122920347678,-0.356503553508822,0.0956725587675379,-0.326296330850383,0.0914142453062569,0.00527921917342516,0.0047687461926969,0.00051047298072826,0.996228452742508,-1.46413731384237
0.052,0.407744666801819,-0.173584695448409,0.0955057017760331,-0.168062756843519,0.0912531647883408,0.00067050893597327,0.000159633432293262,0.000510875503680008,0.996219045831155,-1.46412060128188
0.054,0.462504522810626,-0.0786456576981882,0.0953393292477864,-0.085929628315549,0.0910925868153759,0.000789519332387992,0.000278249429554315,0.000511269902833678,0.996209624141006,-1.46410386551597
0.056,0.491122024000321,-0.0289396876451838,0.0951734418040939,-0.0429200192269017,0.0909325118460681,0.00153846398516766,0.00102680783330866,0.000511656151858997,0.996200187700476,-1.46408710665343
0.058,0.583511497730493,0.129606063934767,0.0950080400815887,0.0939496659715552,0.0907729403517876,0.00720293488278609,0.00669090065756092,0.000512034225225166,0.996190736542047,-1.46407032480969
0.06,0.545406086373858,0.0640041349752318,0.0948431247316889,0.03728076922384,0.0906138728160856,0.00427724355863957,0.00376483946044038,0.000512404098199193,0.996181270702259,-1.46405352010677
0.062,0.553129853519714,0.0771837351311197,0.0946786964200502,0.0486389385629853,0.0904553097342164,0.00481576864995294,0.00430300290310939,0.000512765746843558,0.996171790221698,-1.46403669267327
0.064,0.448270265729396,-0.10238232359783,0.0945147558260249,-0.106278468523486,0.0902972516126653,0.000593423779545055,8.03046315310586e-05,0.000513119148013996,0.996162295144985,-1.46401984264433
0.066,0.418547088239013,-0.152370669073781,0.0943513036421268,-0.149253559251795,0.0901396989686829,0.000564954684191191,5.14904048341344e-05,0.000513464279357057,0.996152785520764,-1.46400297016166
0.068,0.410052375998806,-0.165749657153181,0.0941883405735021,-0.160604493702281,0.0899826523298238,0.00065433181968512,0.00014053070037802,0.0005138011193071,0.99614326140169,-1.46398607537344
0.07,0.422788981378056,-0.142709795129512,0.0940258673374065,-0.14053406985685,0.089826112233492,0.000539302403242527,2.51727561582221e-05,0.000514129647084305,0.996133722844417,-1.4639691584344
0.072,0.411669581762816,-0.160635591721301,0.0938638846626876,-0.155811079295736,0.0896700792264915,0.000638437467047568,0.000123987624356679,0.000514449842690889,0.996124169909582,-1.46395221950568
0.074,0.360618741355559,-0.246831142211516,0.0937023932892743,-0.229935288378237,0.0895145538645831,0.0020380412251072,0.00152327953819831,0.000514761686908893,0.996114602661794,-1.46393525875492
0.076,0.357190472344772,-0.251011184268136,0.0935413939676712,-0.233260400742179,0.0893595367120458,0.0021992944763643,0.00168422931506812,0.00051506516129618,0.996105021169618,-1.46391827635615
0.078,0.362702012225276,-0.23985757802574,0.0933808874584598,-0.223360520519836,0.0892050283412455,0.00197257978078978,0.0014572195326059,0.000515360248183883,0.996095425505562,-1.46390127248983
0.08,0.376821060934786,-0.21402174019803,0.0932208745318054,-0.200813391475529,0.0890510293322076,0.00145138410784129,0.000935737177168773,0.00051564693067252,0.99608581574606,-1.46388424734274
0.082,0.327889029908482,-0.296315599989617,0.0930613559669698,-0.271497314159897,0.0888975402721967,0.00382528655495539,0.00330936136232684,0.000515925192628552,0.996076191971455,-1.46386720110806
0.084,0.331099450044849,-0.288843374464255,0.0929023325518307,-0.26472639919002,0.088744561755301,0.00364651737120889,0.00313032235252839,0.000516195018680499,0.996066554265989,-1.46385013398526
0.086,0.344257327163256,-0.264369554013729,0.0927438050824066,-0.24330816603885,0.0885920943820233,0.00290789409204477,0.00239143769782916,0.000516456394215603,0.996056902717777,-1.46383304618009
