t,x,y,L_x,f_x,f_y,filter_mean,filter_cov,smoother_mean,smoother_cov,ACI_metric
0,1,2,2,0,-1,2,0.1,1.76723016781297,0.072288945793511,0.294603183900365
0.1,0.989347072395307,1.50467453983919,1.97869414479061,0.00532646380234653,-0.957615259314329,1.57275438021198,0.162531733594738,1.57315341607394,0.0925504497880154,0.0662751880891647
0.2,1.35730224336695,1.66788829830804,2.7146044867339,-0.178651121683476,-2.68453875969792,1.32450958137104,0.175733945918273,1.28804775754286,0.0889934856949383,0.0971917754312999
0.3,1.50954420210703,1.40016457300461,3.01908840421407,-0.254772101053517,-3.55744739622992,0.718125872206679,0.163167469750277,0.991221863204913,0.0793761185934264,0.332067447343892
0.4,1.81490944251607,0.461559130958634,3.62981888503214,-0.407454721258034,-5.58779256906797,0.380845919921136,0.139165843944573,0.487545178036751,0.0710716420529126,0.132241162200273
0.5,1.83631715269064,-0.536118394971779,3.67263430538128,-0.418158576345321,-5.74412137053173,-0.256569458675835,0.125925380192772,-0.136701630228909,0.0698826774952295,0.128963230452122
0.6,1.76986354545009,-0.908328368109424,3.53972709090018,-0.384931772725044,-5.26483393902632,-0.497213270805317,0.13177448842979,-0.496323661990068,0.0747622559357676,0.0670674439612202
0.7,1.46916095171713,-1.13002002146877,2.93832190343425,-0.234580475858563,-3.31686780410074,-1.05532338534359,0.135027635288109,-1.11641088763302,0.0884918493295362,0.0527832379992723
0.8,0.911681721168937,-0.91762069073161,1.82336344233787,0.0441591394155315,-0.662327121427111,-1.54637328298877,0.166804894452363,-1.23658337423349,0.114033500139532,0.319654070218374
0.9,0.711779917465424,-0.539945207591081,1.42355983493085,0.144110041267288,-0.0132613018141716,-1.48356426682251,0.205208877535884,-1.08705025498851,0.136032386756311,0.420097567652415
1,0.829407532270616,-0.509363410083298,1.65881506454123,0.0852962338646919,-0.375833709174466,-1.03994617097805,0.239047950464861,-0.895521255562459,0.15014542967468,0.0902070666965126
1.1,0.796014997349217,0.0522028373844415,1.59202999469843,0.101992501325391,-0.267279752009749,-0.854852846390841,0.25652892406366,-0.803047641190942,0.159944407061949,0.0531858264373869
1.2,0.768159414489227,-0.722631373163657,1.53631882897845,0.115920292755386,-0.180137772136865,-0.7358243077665,0.259207363546426,-0.827873835468614,0.171532920359689,0.0536505859609111
1.3,0.855190331817248,-0.544822999558049,1.7103806636345,0.0724048340913758,-0.462701007267391,-0.44863160755613,0.268602019058362,-0.853789806823009,0.189080800192407,0.333069714297612
1.4,0.571534785277529,-0.706988190291943,1.14306957055506,0.214232607361236,0.346695978435538,-0.778009768244206,0.278199274813665,-0.940333481120234,0.220326094266547,0.0599569131879447
1.5,0.39090996749405,-0.934098108214554,0.7818199349881,0.304545016252975,0.694378794627601,-0.849803610593183,0.323371224900864,-0.834029064707718,0.255527826743578,0.0132194010930335
1.6,0.204200517051127,-0.878569509782217,0.408401034102254,0.397899741474437,0.916604297672105,-0.896698242481216,0.371453683146802,-0.680601642017271,0.28479165910442,0.0790387077150123
1.7,0.319829171676435,-0.0378009205416787,0.63965834335287,0.340085414161783,0.795418601889531,-0.706364453746026,0.409677973686365,-0.521856393498411,0.305526160625905,0.0611025222901544
1.8,0.299864710277984,0.328705622527804,0.599729420555969,0.350067644861008,0.820162311059801,-0.658013439056063,0.435611965969166,-0.372635319208727,0.323112902432717,0.113725878183629
1.9,0.314396155288984,-0.102362827568848,0.628792310577968,0.342801922355508,0.80231011507901,-0.581054956827983,0.438426027095629,-0.254308018191023,0.34183597346131,0.136032353763323
2,0.171734195182158,0.210734942233135,0.343468390364316,0.414132902408921,0.941014732410273,-0.632904122002373,0.479757371919101,-0.0451088389874142,0.360051908478642,0.378841170053333
2.1,-0.019602079990631,0.650937469134971,-0.039204159981262,0.509801039995315,0.999231516920082,-0.616187164473936,0.527536880691076,0.19379043661441,0.368811963909269,0.650344149392848
