fun,quantity,same,maxabs,info
ref_pp_filter_dir1,filter_mean,1,0,numeric[1 3001]
ref_pp_filter_dir1,filter_cov,1,0,numeric[1 3001]
ref_pp_filter_dir1,S_yoS_y,1,0,numeric[1 1]
ref_pp_filter_dir1,S_yoS_y_inv,1,0,numeric[1 1]
ref_pp_filter_dir1,S_xoS_x,1,0,numeric[1 1]
ref_pp_filter_dir1,S_xoS_y,1,0,numeric[1 1]
ref_pp_filter_dir1,S_yoS_x,1,0,numeric[1 1]
ref_pp_smoother_dir1,smoother_mean,1,0,numeric[1 3001]
ref_pp_smoother_dir1,smoother_cov,1,0,numeric[1 3001]
ref_pp_smoother_dir1,E_j_matrices,1,0,numeric[1 3001]
ref_pp_smoother_dir1,F_j_matrices,1,0,numeric[1 3001]
ref_pp_metric_dir1,signal_smoother_filter,1,0,numeric[1 3001]
ref_pp_metric_dir1,cov_ratio_smoother_filter,1,0,numeric[1 3001]
ref_pp_metric_dir1,dispersion_smoother_filter,1,0,numeric[1 3001]
ref_pp_metric_dir1,ACI_metric,1,0,numeric[1 3001]
