index,filter_mean,filter_cov,smoother_mean,smoother_cov,ACI_metric
1,4,0.1,4.1195753560899,0.041709416658169,0.217260043978924
41,3.92383423584007,0.0773213966024155,4.14915932587679,0.040526933121494,0.413384024519357
81,3.95179734112312,0.0707057874005173,4.150634001994,0.0417852297179835,0.338060083293575
121,3.99812808982566,0.0697618371915122,4.10851854534921,0.0442705513978248,0.132021875095471
161,3.88993760359252,0.0706560392668496,4.06304304392638,0.0476823231811032,0.246108984320614
201,3.77671495249775,0.0729860578567447,3.9849278742387,0.0515783581196071,0.323919524072773
241,3.86279724820558,0.0762249276861695,3.87204129866356,0.0556409978243379,0.0229236637404113
281,3.65212686251315,0.0797958864728624,3.72667740187844,0.0593204284033037,0.0547851470753529
321,3.52817066636727,0.0831495318313749,3.5797299862509,0.0629328326718926,0.0337033931330672
361,3.44368337306288,0.0864273554930734,3.42136970909125,0.0662106979499544,0.0191540308417775
401,3.35175319456626,0.0901586678701825,3.22585006627393,0.068498214833602,0.105167080332161
441,3.26869972944234,0.0938169902397933,3.0110633401056,0.0695946112627519,0.373990908823858
481,3.06345875884132,0.0973101632125015,2.77931427658107,0.0691649590426879,0.440937783378362
521,2.8296190271877,0.100180474850258,2.55935513921272,0.0676803350210618,0.398435782459743
561,2.62576402398381,0.102037395516166,2.3699457236742,0.0656744747151371,0.3628116944859
601,2.41734918627422,0.102957914119503,2.20408966720515,0.0631901334376547,0.27182478713947
641,2.23869876156939,0.10287754864424,2.0609702658744,0.0603783950482489,0.213421407761062
681,2.14540935528439,0.102022722564307,1.93339166730882,0.057216239308899,0.289889606450849
721,1.83031158474792,0.100814955407812,1.80997394798982,0.0535012619122011,0.0841859903187747
761,1.80435554454398,0.0975420526991327,1.72877590593809,0.0500020761341471,0.119701011294577
801,1.7969640525114,0.0940410768276537,1.65271884777965,0.0464318837580607,0.210368359434633
841,1.65768403038181,0.0895628856149142,1.59642058483852,0.042877575233223,0.128620288268109
881,1.52812819647768,0.0850305692809988,1.54258308921198,0.0393588999744447,0.117812699636469
921,1.40873148974368,0.0793727062796306,1.51949974647761,0.0361288961991769,0.198412052266075
961,1.54564138464563,0.0739796357964713,1.499845173485,0.033254128178275,0.138732178447447
1001,1.55162687058019,0.0692139436418182,1.46355015263235,0.0304567561181558,0.186506248986342
1041,1.52315555865712,0.0647545187128228,1.41169889702608,0.0276716111176441,0.234684339102344
1081,1.44546391295697,0.059517488416412,1.38799622484919,0.0250346508881911,0.171062289177415
1121,1.53502370621901,0.0542244621417844,1.38345640862694,0.0226806414126434,0.356775979350342
1161,1.55564981902677,0.0498101465004898,1.34514069239641,0.0204650199964857,0.595011018039459
1201,1.58388000909664,0.0454366541981032,1.30778166208128,0.0183523630523681,0.994099336130618
1241,1.35642805361642,0.0409182384044897,1.29803515944269,0.0163297460184192,0.200500096808441
1281,1.56525021433826,0.0366518328402194,1.33517988181621,0.0146173032597783,0.881133273355608
1321,1.53750306858049,0.0329593465167043,1.3821479072447,0.0131042026669802,0.526100662970592
1361,1.5720841043376,0.0296778711679063,1.46119720386401,0.0117581522236313,0.368179839707724
1401,1.65277380836531,0.0267373654602313,1.64251480026154,0.0106630457448355,0.161010589935159
1441,1.88050158350739,0.0244928442484513,1.9104024946124,0.00987952269070303,0.173891764029393
1481,2.2681042458142,0.0229921392182896,2.25159750571813,0.00943005364180387,0.156621893296606
1521,2.80242069787657,0.0222620167072661,2.58631992220981,0.0092599561380614,1.19542940978373
1561,2.98810123007797,0.0219832433028579,2.96612071033983,0.00931072584665226,0.152314322639345
1601,3.51585697625334,0.0225176200070272,3.33278951566397,0.00970174768633838,0.880587741911033
1641,3.72638136258317,0.0233132662902918,3.81292010476689,0.0103808581889255,0.287783657358405
1681,4.31711373095056,0.0250271116102767,4.36832291790471,0.0117334154897934,0.165564349557662
1721,4.87344897389696,0.0275790632200551,4.96471026304919,0.0140797206107779,0.242417128717263
1761,5.43791290009696,0.0318260403650814,5.31843716406655,0.0176047776033886,0.296892873721358
1801,5.59515226696321,0.0370976803389019,5.45374790731399,0.0220041902262667,0.327225587038082
1841,5.64325982861279,0.0425071586863019,5.53886960012064,0.0274046785597917,0.170015233473584
1881,5.61994096954204,0.0487896295272077,5.4876082864953,0.0334944797889692,0.210786401391378
1921,5.40087739089172,0.0551836356940152,5.3572956541318,0.0397860941921285,0.0412721742724538
1961,5.39578833781842,0.0618595755593381,5.14820719645103,0.0458076797413678,0.515911067682517
2001,5.08725978796882,0.0679890514256292,4.91247811005419,0.0512020317989788,0.242988377122432
2041,4.84244405583755,0.0739318302181056,4.64323243018378,0.0556952846779671,0.286681438752589
2081,4.52183585122315,0.0789723238531803,4.38955605616512,0.059508497499904,0.129042518637639
2121,4.25951923350186,0.0832282520963288,4.15439883961321,0.0627953318187305,0.084486245484672
2161,4.1411881355753,0.0871752425090189,3.91859615631305,0.0653822969766246,0.303020921756113
2201,3.89921113539245,0.0911614894001501,3.65942241741063,0.0666166635962337,0.337583000217174
2241,3.57415194170868,0.0945118477291893,3.41365026753809,0.0669000359811244,0.162970295395566
2281,3.26569124096128,0.0964839625651731,3.21665642250202,0.0670037316060939,0.0420017162984819
2321,3.14426295197363,0.0977635947187426,3.04507422039783,0.0668968557191254,0.0821532934309789
2361,2.93938772329622,0.0988475088705381,2.88136661762627,0.0663288958136822,0.0520160673140648
2401,2.80537333960071,0.0998458481091201,2.7218094293618,0.0652312898418149,0.074472651092735
2441,2.52536500375614,0.10021484964241,2.58032763733951,0.0637702287617377,0.0592546001361891
2481,2.42812365258568,0.0995208150381025,2.47166026187415,0.0624730901120434,0.0562077358883868
2521,2.42370802931469,0.0998429691572043,2.33936017731311,0.060420184687621,0.0893425153129291
2561,2.22808757544268,0.0995104062273675,2.22189865471237,0.0579817789090384,0.0615944194804064
2601,2.04239160517738,0.0976829600204284,2.14069798412546,0.0556428558007645,0.115667130691164
2641,1.99668791298595,0.0958389751162072,2.06410906668479,0.0532321010526097,0.0954351034984436
2681,1.90146589916102,0.0937786181922014,1.99392314511178,0.0507205380751824,0.123307211896704
2721,1.90710784906939,0.0913282863858488,1.93351309619321,0.0481887934765764,0.0873060762462737
2761,1.77522352695197,0.088389058021468,1.88434769842219,0.0456861555207054,0.155776041960062
2801,1.85350550417848,0.0854231970677595,1.83660081534916,0.0432610806939897,0.0950710437879056
2841,1.87521050937976,0.0823217706737131,1.78974035683669,0.0408391428818435,0.14291259341956
2881,1.81374689872238,0.0794233356867728,1.7321947683627,0.0383426443359478,0.147365229603804
2921,1.75147722813296,0.0756572321663241,1.69286050260244,0.0359528514832389,0.132313004367525
2961,1.74266196986416,0.0724485479544754,1.63013085809292,0.0335355332552053,0.203974108281102
3001,1.72918544321194,0.0686112058102175,1.57625705924355,0.031169449220938,0.292086198375905
3041,1.88285441151558,0.0656749345387757,1.47355253641403,0.0286170587096106,1.4086596382642
3081,1.53275191452036,0.0613585199369447,1.39493141489524,0.0258358550533516,0.297800142436176
3121,1.61599038510281,0.0562658482953073,1.35180037155763,0.0232611646194531,0.768596302601184
3161,1.3456015662482,0.0513669145501353,1.30497263383704,0.0206793371482949,0.172287910889906
3201,1.37736575002852,0.0456149271488559,1.35744990005271,0.0184889160336018,0.158542508967284
3241,1.39604412069738,0.0412146243163956,1.38287556435963,0.0165634943353716,0.158841716372648
3281,1.5075892308701,0.0372149481808204,1.4309999138851,0.0148079408395927,0.238536372765589
3321,1.47395365680883,0.0331531580594673,1.60559505040392,0.0132986464528347,0.418656191395361
3361,1.79010116189742,0.029957204604402,1.90448989188141,0.0123236238031795,0.368204273561077
3401,2.14629511794999,0.0282186642596611,2.14949399409534,0.011747499908721,0.146504136673152
3441,2.40618828043434,0.0272060234990697,2.33165187767633,0.01131997464983,0.248580255564207
3481,2.56975926211509,0.0262265334589994,2.62890674475732,0.0110686357189735,0.209044149547749
3521,3.0234120071037,0.0258057694544278,3.04560389004968,0.0112338492177957,0.143036936556702
3561,3.59576363549021,0.0265425300986536,3.37998540384933,0.0118126299359249,1.0043997603646
3601,3.79173001639449,0.02760393091374,3.72601272235501,0.0126936594087996,0.196579953629454
3641,4.14056655415131,0.0294630409017718,4.03559636889987,0.014059215437243,0.295512552629553
3681,4.31714168555966,0.0318715419247046,4.29631395432786,0.0158329050957334,0.105003165630677
3721,4.45971090843937,0.0347238015493722,4.57425368744236,0.0183080780890446,0.272585928737199
3761,4.70061900018822,0.0381684604421578,4.84679986915184,0.0218324674704776,0.345235147925693
3801,4.96989438287605,0.0429008705036767,4.97570038062595,0.0263081533491773,0.0515150965380661
3841,4.96175418443419,0.0482185781483659,4.99506609398799,0.0313750750039387,0.0517142848838092
3881,4.88061622964194,0.0534916175833485,4.97714925863159,0.037047562992532,0.117057964827924
3921,4.81155019066481,0.0590313879020712,4.90837541256835,0.0432323989223701,0.101328964985065
3961,4.77661758846421,0.0650931402528779,4.75611371254651,0.0492549275583659,0.0209760876151159
4001,4.63098943155039,0.0708819661836128,4.56896662531036,0.0548229157694326,0.0423091099650522
4041,4.38156336295412,0.0764080139820436,4.35208224851443,0.0596378875915311,0.0198451000253362
4081,4.17406967334259,0.0812804897636383,4.13780281198847,0.0638766649037287,0.021506689478151
4121,4.04107862836222,0.0859458744625373,3.9050690435599,0.0671586143911865,0.121650993944172
4161,3.68405127098054,0.0898237422992725,3.68594318917991,0.0697519843471617,0.014743077316706
4201,3.42713825160504,0.0926013375694245,3.504933564493,0.0723594884737258,0.0467111462988012
4241,3.36417044211719,0.0949412783196818,3.33737602937044,0.0748838226414867,0.0168104707658743
4281,3.21242375044329,0.0976788412984257,3.14670637263952,0.0764986248439306,0.0358954813568805
4321,2.99963329916288,0.100285415822396,2.95165973773159,0.0772831429940253,0.0270627347851465
4361,2.82035278212055,0.102256805097839,2.77548050749241,0.0777439433189576,0.0270194444796291
4401,2.72452987529386,0.104150069098995,2.59733546905232,0.0774725496677408,0.0975508547607152
4441,2.60456042726157,0.106180443071207,2.40502181056827,0.0759168026389101,0.212731075321044
4481,2.38058781998304,0.107561203607548,2.23361575984551,0.0738587608060908,0.131697949050784
4521,2.20129960610881,0.108249641249494,2.08338086334104,0.0715062505118503,0.101837355560948
4561,2.11193442245154,0.108931440717319,1.93167225102248,0.0683604486859112,0.195890465761314
4601,1.98357902907854,0.108666371792643,1.80230335348193,0.0649457983955663,0.207396570550753
4641,1.74046588984624,0.107502548477124,1.69019764552458,0.0612388149044726,0.0779443403383773
4681,1.73567232448523,0.105477859256629,1.593655345765,0.0574453187760386,0.17175051795086
4721,1.63067052888566,0.103434496526805,1.4931272709671,0.0531935638110476,0.181086931495213
4761,1.53985651135627,0.100556970928996,1.40186582267854,0.0486206908394543,0.199774382142602
4801,1.30853644468372,0.095907960957696,1.33731272263679,0.0439987683275529,0.12331086816905
4841,1.324512718839,0.0889164771917908,1.31864499213524,0.0398597410876563,0.125500412745326
4881,1.21693305928245,0.0832392717278733,1.27378421962615,0.0356309783668697,0.157693598652369
4921,1.00822725737088,0.0756034032299448,1.28103068341098,0.0317265412670623,0.636180944178118
4961,1.10999875558056,0.0675844940495673,1.3324827048086,0.0284987442508841,0.508798825798472
5001,1.28317038156043,0.0610730052541615,1.37425935094075,0.025749385312192,0.210566380248358
5041,1.55181460433223,0.056079799660329,1.37688144526513,0.0232157912416702,0.420800242390643
5081,1.33984233234332,0.0509052523002246,1.40099842985019,0.020745754688417,0.189316132629648
5121,1.3532075415238,0.0456205649467572,1.49314507651084,0.0186724794890301,0.365927481099684
5161,1.5762008616437,0.0413764635709456,1.59675149637821,0.0169654380467342,0.155883629506044
5201,1.60103341881109,0.0378266231240655,1.72409574232138,0.0155506413250048,0.350188092723619
5241,1.80436997562418,0.0347548025357804,1.91049272693311,0.0144818570188152,0.308075144857247
5281,2.11740324116559,0.0327713710870871,2.07521629963823,0.0137664656276425,0.170851687567332
5321,2.3814341674118,0.0312752864488204,2.22332630384568,0.013216348008553,0.541623596275765
5361,2.36918529311896,0.0302984828406816,2.32062503880324,0.0126818201533875,0.183659978332592
5401,2.48763088104689,0.0289256742550263,2.61288681513747,0.0123810163426399,0.409492828982005
5441,2.93365518799692,0.0285118462819361,2.92684734643322,0.0124773333564715,0.132825393879096
5481,3.37957179045388,0.0288809307884524,3.23299148027559,0.0129608564617958,0.496980076303071
5521,3.5564341270183,0.0299388871875355,3.46652115594813,0.0136620041066463,0.25544876409024
5561,3.68354139459036,0.0311420547269958,3.75549146966385,0.0146771963858589,0.194897311831987
5601,4.02892628675878,0.0329113142854351,4.08197004395016,0.0163019348184505,0.141676734683184
5641,4.2906807665351,0.0357004589035259,4.32809965304457,0.0185519231488859,0.106732574301894
5681,4.48499248947142,0.0389200450311591,4.54482681162601,0.0214880498351484,0.119053593277271
5721,4.5844966894704,0.0427446440610379,4.70832671159282,0.0252361919988869,0.238045529925985
5761,4.74418022639815,0.0473611434383735,4.79184491988112,0.0297966554083935,0.0702566665332858
5801,4.65643303805734,0.0523457680038587,4.79977547144492,0.0348377522196538,0.232613222570778
5841,4.56226491370957,0.0573846497501703,4.77412529607243,0.0404185782710344,0.418503393636323
5881,4.42118073398558,0.0622393325126848,4.73827749716832,0.0466650060480582,0.826651686454496
5921,4.38749978637517,0.0670219990099109,4.69201294956236,0.0537204096224445,0.7031557956288
5961,4.4206334111615,0.0727592424443653,4.55528199878754,0.0605522140518753,0.132529155121422
6001,4.25755585345123,0.0785014260352543,4.36856574194198,0.0666179144417225,0.0848721144056047
6041,4.02269631851025,0.0836798289343888,4.17274938458055,0.0720514003133563,0.139863570277293
6081,3.84229910324038,0.0883509805041797,3.9722252348564,0.0768186654457014,0.100203217424677
6121,3.60309498956423,0.0926526999261584,3.75927387016496,0.0805774343026117,0.136286096484453
6161,3.40684669304212,0.0962810917225058,3.56251856467777,0.0838672368692591,0.130400587316394
6201,3.1765024045121,0.0993018550671751,3.38320179169384,0.0868590290239161,0.219412441333088
6241,3.06855266672391,0.10205939432986,3.20358499260034,0.0891770980979027,0.0936825886535898
6281,2.8911017834491,0.104562139932829,3.02233460260758,0.0906347082629767,0.0872265204368584
6321,2.68639968779228,0.106733063150106,2.84814382145116,0.0914083661260671,0.128261330006597
6361,2.50213280831605,0.108533144310352,2.69074935906946,0.0918927081065223,0.170451912623324
6401,2.34630046169641,0.109939082749448,2.55117117472109,0.0922243875257918,0.198172521189487
6441,2.28655311484701,0.111236622158927,2.41323290165462,0.0919638615579445,0.0806358962222623
6481,2.09038522367679,0.112328202489152,2.28490558632982,0.0912902370346038,0.17847233899646
6521,1.9329474934026,0.113056137297163,2.17482306464012,0.0906181171213977,0.270118983211119
6561,1.89376811640193,0.113644833211187,2.07184196735963,0.0896965784546124,0.152473169379638
6601,1.8044963471334,0.114288596197403,1.96777799468805,0.0881352462415334,0.132147595443952
6641,1.71841546194932,0.114960727831377,1.86174504923457,0.0857781173674652,0.108838576490547
6681,1.63478397394535,0.115521131875406,1.76128525438335,0.0828123098937062,0.0941301857797349
6721,1.44290078381535,0.115421803644514,1.68540023053974,0.0799503134938554,0.284677508608187
6761,1.44147452495441,0.114941852640201,1.62121934766778,0.0770465820981656,0.17570419081846
6801,1.33169852092415,0.114809461859894,1.54856273540059,0.073304483703797,0.248388144284892
6841,1.29694126299955,0.114039822472135,1.49021413005084,0.0693736866673055,0.216462219918409
6881,1.16638133531418,0.112362342572522,1.44814433502416,0.0653588281146616,0.415036171185003
6921,1.22794004562555,0.109580673865986,1.42419896007211,0.061541434068114,0.24502920211194
6961,1.08542231233962,0.106884395273747,1.39465669817309,0.0574294754692632,0.526580699281805
7001,1.14795487619904,0.103081350584219,1.38028432108371,0.0535083112518082,0.349202185191272
7041,1.14232009056176,0.0992239274744164,1.36107678909775,0.0494587823152857,0.338491793557859
7081,1.16421368703991,0.0946997365072231,1.34830888966389,0.0455045997151688,0.285645651122754
7121,1.27773134809757,0.0901836462828217,1.32825962900956,0.0415009767368178,0.13231209348224
7161,1.10765198836164,0.0847850427664748,1.31880929380795,0.0374453135290141,0.392387616844031
7201,1.16902318724446,0.0777408703471375,1.35284633341945,0.0338887231675091,0.350439568843692
7241,1.00978018817516,0.0712690518736677,1.38422892363285,0.030532549400701,1.12172047672588
7281,1.17873977090799,0.0645813499453002,1.45052750668349,0.0277678146389145,0.708910556764143
7321,1.46738121365099,0.0594232078900031,1.48836289689485,0.0253344644560074,0.143133559970796
7361,1.38104450515307,0.054857856594163,1.51188084049712,0.0230022712660221,0.300252360943544
7401,1.49454952219889,0.0501455257588732,1.5734320480744,0.0209880398109712,0.206803535108006
7441,1.67332938891674,0.0461134577284664,1.63648015288027,0.0192372607605985,0.160437173983182
7481,1.56316211549454,0.0424950780160266,1.70453183095669,0.0175764465445181,0.383369476966852
7521,1.73589792181417,0.0389904489628214,1.84816330620842,0.0162709327371823,0.307244161787809
7561,2.04617032955671,0.0362833235810645,2.02464144741395,0.0153971599953726,0.147154279075879
7601,2.12404584470248,0.0346153592990239,2.13286248337966,0.0146833052328849,0.142008326329594
7641,2.34002649424647,0.0332707856488936,2.23993903292774,0.0141237441774625,0.291210598684846
7681,2.52215295430238,0.0320216276730904,2.38117574184554,0.0137126225871728,0.448492886140421
7721,2.60030632699711,0.0313155929009809,2.49431940143776,0.013440419642787,0.316876270683251
7761,2.79183411446648,0.0306590387861856,2.64962158307259,0.0133049079225088,0.464206845314879
7801,2.98564259690673,0.0305375261327384,2.78201952365323,0.0133322750040962,0.811553046055333
7841,3.01786140389817,0.0305454615609804,2.93199603610891,0.0134379218681443,0.251220332133608
7881,3.25594855033773,0.0308278460814352,3.12584747602815,0.0137435788292101,0.401361070357044
7921,3.31237604717832,0.0312360029419394,3.40829766386862,0.0143502167658212,0.265890789126299
7961,3.64081234035961,0.0324056817012409,3.70259983852086,0.0154634698121605,0.167423325517145
8001,3.94787737477845,0.0344574407136728,3.92252391328502,0.0169923998466509,0.109377646241966
8041,4.1012413598149,0.0368328257219967,4.12800945749908,0.0189586444171149,0.0991522375377161
8081,4.31144727929989,0.0397914852044788,4.30456141994847,0.0215628949484144,0.0778838700945914
8121,4.43316819850136,0.0432115616806439,4.43746992552007,0.024815123054975,0.0646767567355712
8161,4.55799475035349,0.0474134010562773,4.48501371875203,0.0286524992783987,0.110156236857172
8201,4.52505623720493,0.0521747326454639,4.43659846553524,0.0326403354851992,0.12230933331438
8241,4.38274218726418,0.0567585159678892,4.36057084861699,0.0367540149563709,0.0453848002841501
8281,4.38878140079672,0.0615904734717684,4.23263379460589,0.0407406449054665,0.235315748800965
8321,4.21636537963436,0.0663406636138893,4.06734100681781,0.044271109920894,0.203280796557236
8361,4.05832890401143,0.0707368966189748,3.88885126295948,0.0473101145825429,0.238555309298253
8401,3.82266357169018,0.0745008578063681,3.71447892561445,0.0498775351043432,0.113913550083757
8441,3.70430902563829,0.0781399200580302,3.52688834506938,0.0518279536181429,0.238342637058057
8481,3.50653398470842,0.0811491111253861,3.34815965235001,0.0532306886820869,0.193352663730682
8521,3.39802787495833,0.083819342372516,3.17078070394233,0.0540561255847652,0.34982769101276
8561,3.17653157692447,0.0865775425388162,2.97449508927336,0.0538605235413879,0.284110152223865
8601,2.83816307320251,0.0872762424272302,2.83889157243012,0.0536129866318489,0.0507918861918878
8641,2.70275338679451,0.0873768913495462,2.72540382311317,0.0533888816459775,0.0547591278991776
8681,2.73009884596545,0.0872303357299672,2.62309025596513,0.0532123999319992,0.117776859046513
8721,2.72043504386062,0.0881687207027027,2.48586112670275,0.052434822299535,0.369239015372365
8761,2.56206829268214,0.0893493469307424,2.32935214591802,0.050789887391528,0.369711261490895
8801,2.42004314943782,0.0893691716986581,2.19562262119619,0.0487245916389914,0.357677093298717
8841,1.99115673545023,0.087698772404388,2.09867377007418,0.0464860594782014,0.148317194725749
8881,2.07316060050516,0.0849796347961473,2.03285143332114,0.0445538422455862,0.0945609608254808
8921,2.07030340014499,0.0824086072470689,1.96553868398556,0.0426925018845936,0.154455513886425
8961,2.13706838473611,0.0812893869366446,1.8497385596178,0.0403365626482081,0.606289004460464
9001,1.91427226122884,0.0790307750481133,1.74836868177072,0.0376289562211605,0.283231626073106
9041,1.92588314324753,0.0758419871918881,1.66443411718751,0.0348754340955617,0.569001158508366
9081,1.64017444584756,0.0726447467604721,1.56544623605802,0.0316779139699731,0.171449461418471
9121,1.59073618108143,0.0675054691541624,1.52617455411161,0.0285495707793768,0.172617608404361
9161,1.33990558413769,0.0611540699294022,1.55804328104252,0.0257247570777007,0.532349318619711
9201,1.4906559859621,0.0553163569072243,1.63295800739894,0.0234550611251344,0.324036410971957
9241,1.6420861620586,0.0506323612796576,1.71663078612169,0.0216382017543537,0.193619842516839
9281,1.64510430255311,0.0467802419350793,1.80653281439441,0.0202144312517438,0.414116909137365
9321,2.07905522428246,0.044486740658332,1.81848817812001,0.019064948789612,0.90104121873476
9361,1.95509233494615,0.0421835795866107,1.79340757011047,0.0177184094195174,0.453588377684131
9401,1.93742121837024,0.039373054416166,1.82475370008798,0.016462816116415,0.306251901853793
9441,1.97859116138961,0.03698286177312,1.84641984939569,0.0152532692221074,0.385231578447661
9481,1.82799536206454,0.0341328341309659,1.99123061841286,0.014178264004951,0.537291603172247
9521,2.28803583286886,0.0320764672181543,2.20530953150898,0.013586280254212,0.247987621738415
9561,2.32721217575111,0.0309418633928368,2.34801306620184,0.0131175348206416,0.148042539947969
9601,2.63885633821261,0.0300019638245588,2.54130281392801,0.0128507753617702,0.296696035112657
9641,2.88863304887392,0.0295356986607609,2.7503818462674,0.0128012028260149,0.458301850855148
9681,3.11949118735493,0.0294421145301986,2.98753530649999,0.0129738507895438,0.425778129601108
9721,3.32089812853161,0.0298387567275696,3.24301299919343,0.0134323604250519,0.225801010774043
9761,3.47164793779072,0.0308065484288656,3.47070102452192,0.0141030400752256,0.119579790739321
9801,3.79089717688411,0.0319729856077816,3.79278426293468,0.0152429393630773,0.108815321997147
9841,3.98682157303053,0.0338115827868476,4.12119857656846,0.0170190396724814,0.361936589831112
9881,4.3343543795939,0.0367675121384849,4.3558836509626,0.0194982624356645,0.0886040167333973
9921,4.50843166015824,0.0404115825977695,4.49847964120416,0.0225294208057996,0.0721221706294014
9961,4.6500103367988,0.0445692991206509,4.56945351127455,0.0260694972030327,0.133401173978667
10001,4.5899652270636,0.04895370444436,4.58394113716612,0.0299428492289753,0.0519911319885969
10041,4.43047835380567,0.0533787895237076,4.56960686989675,0.0341586101168867,0.224478595937001
10081,4.43039886977843,0.0580127362631074,4.52235126904932,0.0386864281949598,0.108891368443274
10121,4.29665255683843,0.0625310592644657,4.45988814830075,0.0434622103461251,0.242471741464059
10161,4.21427833600738,0.0668982843489551,4.38779508330575,0.0485050504758655,0.248309709494012
10201,4.00137781560504,0.0712415562226576,4.29685725869897,0.0536681306970468,0.631052620443562
10241,3.77261667571169,0.074707944274646,4.2393312879258,0.0595365708515429,1.46978703703957
10281,3.80801021938236,0.0784173747790377,4.16873861584335,0.0660417229389655,0.836665341470371
10321,3.78410633257902,0.0829807811250573,4.03758873425766,0.0721456009751207,0.39183195888897
10361,3.64854686518885,0.0878029600490601,3.85824458746534,0.077169880384045,0.254400230139971
10401,3.45962501645712,0.0920530938560407,3.67915383251514,0.0815451424033588,0.26529575813524
10441,3.26708003536384,0.0958512525251156,3.49886245940277,0.0851818527911474,0.283590527017975
10481,3.07816375647732,0.0991563850365017,3.32468808038644,0.0881993329958959,0.309754580501287
10521,2.91265787001459,0.102025353548255,3.15802262069648,0.0906569036009965,0.298399408267973
10561,2.78678512962099,0.104510346683029,2.99651371906985,0.092498800826559,0.214018260188174
10601,2.61710106566872,0.106720591723646,2.82953672398788,0.0932527768311538,0.215786532382512
10641,2.45690040333371,0.108609854889676,2.67535243563808,0.0934759254230597,0.225049390227805
10681,2.3052068875038,0.110193559679258,2.52687421706399,0.0928983674320854,0.229844746226669
10721,2.15998894537421,0.111486057994742,2.38383320028567,0.0914306763102596,0.233933358028177
10761,1.9750226931081,0.112649417082208,2.25836859388615,0.0896076721469437,0.368496342630303
10801,1.86859769658183,0.113652968187684,2.15147427246162,0.0875578490700627,0.36765608312684
10841,1.7581070812028,0.114487645082424,2.05552326853358,0.0849652769039793,0.40649369674203
10881,1.61299477333099,0.115201764879456,1.96605300924273,0.0816235435441999,0.567554935475651
10921,1.4522109641251,0.115174632967809,1.91134957960763,0.0785824737673354,0.947463261362218
10961,1.37357895924394,0.114948678810066,1.86595507971515,0.0752126406323439,1.09377324357259
11001,1.2616381660201,0.114135588047264,1.83718803781186,0.0716642651431814,1.49779948702963
