t,x,L_x,f_x,L_y,f_y
0,4,0.4,-1.6,-0.5,0
0.005,3.98858212278435,0.398858212278435,-1.59543284911374,-0.495432849113741,0
0.01,4.0093026677921,0.40093026677921,-1.60372106711684,-0.50372106711684,0
0.015,3.98818359612693,0.398818359612693,-1.59527343845077,-0.495273438450773,0
0.02,3.96062954441783,0.396062954441783,-1.58425181776713,-0.484251817767132,0
0.025,3.96436400946604,0.396436400946604,-1.58574560378642,-0.485745603786417,0
0.03,3.95181715338956,0.395181715338956,-1.58072686135582,-0.480726861355822,0
0.035,3.9904187558449,0.39904187558449,-1.59616750233796,-0.49616750233796,0
0.04,3.96689421238338,0.396689421238338,-1.58675768495335,-0.486757684953352,0
0.045,3.96718103491318,0.396718103491318,-1.58687241396527,-0.48687241396527,0
0.05,3.953123335652,0.3953123335652,-1.5812493342608,-0.481249334260798,0
0.055,3.94440416396108,0.394440416396108,-1.57776166558443,-0.47776166558443,0
0.06,3.93824629916277,0.393824629916277,-1.57529851966511,-0.475298519665108,0
0.065,3.9593323969897,0.39593323969897,-1.58373295879588,-0.483732958795879,0
0.07,3.96109166363021,0.396109166363021,-1.58443666545208,-0.484436665452084,0
0.075,3.91563859054814,0.391563859054814,-1.56625543621926,-0.466255436219258,0
0.08,3.89511087484674,0.389511087484674,-1.55804434993869,-0.458044349938695,0
0.085,3.94746690770988,0.394746690770988,-1.57898676308395,-0.478986763083951,0
0.09,3.9648292724837,0.39648292724837,-1.58593170899348,-0.485931708993479,0
0.095,3.94642699765486,0.394642699765486,-1.57857079906194,-0.478570799061942,0
0.1,3.94144979362848,0.394144979362848,-1.57657991745139,-0.476579917451392,0
0.105,3.94070606160923,0.394070606160923,-1.57628242464369,-0.476282424643694,0
0.11,3.96388768528704,0.396388768528704,-1.58555507411482,-0.485555074114818,0
0.115,3.97760956892567,0.397760956892567,-1.59104382757027,-0.491043827570267,0
0.12,3.97805956425128,0.397805956425128,-1.59122382570051,-0.491223825700513,0
0.125,3.97081848758007,0.397081848758008,-1.58832739503203,-0.48832739503203,0
0.13,3.98744054472306,0.398744054472306,-1.59497621788922,-0.494976217889222,0
