"index","n_re","peak_aci","peak_matlab","obj_aci","obj_msimps","obj_matlab","d_obj_native","d_obj_msimps","quad_diff","settled_frac","monotone"
251,1051,0.0465443878967392,0.0465443878967378,0.0918603462569011,0.0918603462569011,0.0918603462569003,7.91033905045424e-16,7.91033905045424e-16,0,0.91151284490961,FALSE
252,1050,0.0471169003876835,0.047116900387681,0.0907748219376363,0.09077482147407,0.0907748214740677,4.63568572417472e-10,2.26207941267376e-15,4.63566310338059e-10,0.911428571428571,FALSE
253,1049,0.0476966851950247,0.0476966851950249,0.0918092336690099,0.0918092336690099,0.0918092336690102,3.05311331771918e-16,3.05311331771918e-16,0,0.912297426120114,FALSE
254,1048,0.0482838318659801,0.0482838318659798,0.0906815093281002,0.0906815088643599,0.0906815088643597,4.63740448819472e-10,1.52655665885959e-16,4.63740296163806e-10,0.912213740458015,FALSE
255,1047,0.0488784309249013,0.0488784309249023,0.0916417059253218,0.0916417059253218,0.0916417059253223,4.57966997657877e-16,4.71844785465692e-16,1.38777878078145e-17,0.912129894937918,FALSE
256,1046,0.0494805738805759,0.0494805738805763,0.0905963795242177,0.0905963790602988,0.0905963790602988,4.63918889415105e-10,1.38777878078145e-17,4.63918903292893e-10,0.912045889101338,FALSE
257,1045,0.0500903532334977,0.0500903532334975,0.0916015638757396,0.0916015638757396,0.0916015638757391,5.41233724504764e-16,5.41233724504764e-16,0,0.913875598086124,FALSE
258,1044,0.0507078624831009,0.0507078624831021,0.0904319848168343,0.0904319843527321,0.0904319843527324,4.64101868047351e-10,3.19189119579733e-16,4.6410218723647e-10,0.913793103448276,FALSE
259,1043,0.0513331961349583,0.0513331961349588,0.0911957016763773,0.0911957016763773,0.0911957016763778,5.41233724504764e-16,5.41233724504764e-16,0,0.917545541706616,FALSE
260,1042,0.0519664497079361,0.0519664497079401,0.0902783396634632,0.0902783391991729,0.0902783391991758,4.64287427948129e-10,2.87270207621759e-15,4.64290300650205e-10,0.919385796545106,FALSE
261,1041,0.0526077197413076,0.0526077197413091,0.0911513036576167,0.0911513036576167,0.0911513036576177,1.02695629777827e-15,1.04083408558608e-15,1.38777878078145e-17,0.919308357348703,FALSE
262,1040,0.0532571038018186,0.0532571038018182,0.0902014439862049,0.0902014435217216,0.0902014435217216,4.64483257411885e-10,4.16333634234434e-17,4.64483299045249e-10,0.919230769230769,FALSE
263,1039,0.0539147004907014,0.0539147004907006,0.09098409404319,0.09098409404319,0.0909840940431889,1.0547118733939e-15,1.0547118733939e-15,0,0.919153031761309,FALSE
264,1038,0.0545806094506396,0.0545806094506408,0.0899457222149042,0.0899457217502228,0.0899457217502234,4.64680835476905e-10,5.82867087928207e-16,4.64681418343993e-10,0.91907514450867,FALSE
265,1037,0.0552549313726701,0.0552549313726706,0.0908412589250749,0.0908412589250749,0.0908412589250753,4.02455846426619e-16,3.88578058618805e-16,1.38777878078145e-17,0.918997107039537,FALSE
266,1036,0.0559377680030304,0.0559377680030304,0.0898843560306247,0.0898843555657399,0.08988435556574,4.64884672424226e-10,5.55111512312578e-17,4.64884727935377e-10,0.918918918918919,FALSE
267,1035,0.0566292221499391,0.0566292221499383,0.0906898628319128,0.0906898628319128,0.0906898628319124,3.60822483003176e-16,3.60822483003176e-16,0,0.918840579710145,FALSE
268,1034,0.0573293976903088,0.0573293976903081,0.089648086480052,0.0896480860149586,0.0896480860149577,4.650942547757e-10,8.74300631892311e-16,4.65093380475068e-10,0.918762088974855,FALSE
269,1033,0.0580383995763918,0.0580383995763945,0.0904346383246095,0.0904346383246095,0.0904346383246113,1.79023462720806e-15,1.79023462720806e-15,0,0.918683446272991,FALSE
270,1032,0.0587563338423457,0.0587563338423438,0.0893426350568389,0.0893426345915314,0.0893426345915299,4.65308971908662e-10,1.47104550762833e-15,4.65307500863155e-10,0.918604651162791,FALSE
271,1031,0.0594833076107245,0.0594833076107254,0.0899286309839417,0.0899286309839417,0.0899286309839412,4.9960036108132e-16,4.71844785465692e-16,2.77555756156289e-17,0.920465567410281,FALSE
272,1030,0.060219429098887,0.0602194290988895,0.088611004507184,0.0886110040416567,0.0886110040416584,4.65525562542979e-10,1.67921232474555e-15,4.65527241755304e-10,0.920388349514563,FALSE
273,1029,0.0609648076253161,0.0609648076253175,0.088943936576172,0.088943936576172,0.0889439365761729,8.60422844084496e-16,8.74300631892311e-16,1.38777878078145e-17,0.920310981535471,FALSE
274,1028,0.0617195536158496,0.0617195536158506,0.0874529833678503,0.0874529829020975,0.0874529829020985,4.65751784362034e-10,9.99200722162641e-16,4.65752783562756e-10,0.920233463035019,FALSE
275,1027,0.0624837786098185,0.0624837786098183,0.0878708634997896,0.0878708634997896,0.0878708634997897,1.52655665885959e-16,1.52655665885959e-16,0,0.920155793573515,FALSE
276,1026,0.0632575952660812,0.0632575952660821,0.0863426818766309,0.0863426814106468,0.0863426814106466,4.65984320574542e-10,1.52655665885959e-16,4.65984167918876e-10,0.920077972709552,FALSE
277,1025,0.0640411173689602,0.064041117368963,0.0870056630165983,0.0870056630165983,0.0870056630165987,4.30211422042248e-16,4.30211422042248e-16,0,0.92,FALSE
278,1024,0.0648344598340671,0.0648344598340685,0.085569724761462,0.0855697242952403,0.0855697242952404,4.66221644623843e-10,5.55111512312578e-17,4.66221700134994e-10,0.919921875,FALSE
279,1023,0.0656377387140181,0.0656377387140171,0.0864163825739633,0.0864163825739633,0.0864163825739631,2.22044604925031e-16,2.22044604925031e-16,0,0.919843597262952,FALSE
280,1022,0.0664510712040302,0.0664510712040298,0.0850540258346588,0.0850540253681934,0.0850540253681927,4.6646608797829e-10,7.07767178198537e-16,4.66465380211112e-10,0.919765166340509,FALSE
281,1021,0.067274575647402,0.0672745756474003,0.0861156338422956,0.0861156338422956,0.0861156338422947,8.74300631892311e-16,8.74300631892311e-16,0,0.920666013712047,FALSE
282,1020,0.0681083715408605,0.0681083715408604,0.0849148469771629,0.0849148465104475,0.0849148465104476,4.66715305291743e-10,1.38777878078145e-16,4.66715444069621e-10,0.920588235294118,FALSE
283,1019,0.0689525795397829,0.0689525795397815,0.0859981399707897,0.0859981399707897,0.0859981399707887,1.02695629777827e-15,1.02695629777827e-15,0,0.920510304219823,FALSE
284,1018,0.0698073214632817,0.0698073214632784,0.084540607691519,0.0845406072245469,0.0845406072245457,4.66973321122666e-10,1.22124532708767e-15,4.66972099877339e-10,0.920432220039293,FALSE
285,1017,0.0706727202991469,0.0706727202991462,0.0852706138910371,0.0852706138910371,0.0852706138910366,4.85722573273506e-16,4.85722573273506e-16,0,0.920353982300885,FALSE
286,1016,0.0715489002086452,0.071548900208643,0.0836707390545337,0.0836707385872983,0.0836707385872972,4.67236513368441e-10,1.0547118733939e-15,4.67235458656567e-10,0.920275590551181,FALSE
287,1015,0.0724359865311664,0.0724359865311647,0.0841048865062831,0.0841048865062831,0.0841048865062823,8.04911692853238e-16,8.04911692853238e-16,0,0.920197044334975,FALSE
288,1014,0.0733341057887142,0.0733341057887164,0.0829897442443067,0.082989743776801,0.082989743776802,4.67504687740039e-10,9.85322934354826e-16,4.67505673062973e-10,0.920118343195266,FALSE
289,1013,0.0742433856902355,0.0742433856902355,0.0837335689437256,0.0837335689437256,0.0837335689437251,5.27355936696949e-16,5.27355936696949e-16,0,0.920039486673248,FALSE
290,1012,0.0751639551357824,0.0751639551357825,0.0826670559761723,0.0826670555083893,0.0826670555083886,4.67783686786127e-10,6.80011602582908e-16,4.67783006774525e-10,0.9199604743083,FALSE
291,1011,0.0760959442205024,0.0760959442205048,0.0835231127335469,0.0835231127335469,0.0835231127335473,3.88578058618805e-16,3.88578058618805e-16,0,0.919881305637982,FALSE
292,1010,0.0770394842384488,0.0770394842384502,0.0826206584364702,0.0826206579684027,0.082620657968403,4.68067223868829e-10,3.19189119579733e-16,4.68067543057948e-10,0.91980198019802,FALSE
293,1009,0.0779947076862092,0.0779947076862093,0.0834520162427363,0.0834520162427363,0.0834520162427368,4.57966997657877e-16,4.85722573273506e-16,2.77555756156289e-17,0.919722497522299,FALSE
294,1008,0.0789617482663423,0.078961748266342,0.0822229518631398,0.0822229513947803,0.0822229513947798,4.68360045191574e-10,5.41233724504764e-16,4.68359503957849e-10,0.919642857142857,FALSE
295,1007,0.0799407408906228,0.0799407408906216,0.0825529970457336,0.0825529970457336,0.0825529970457322,1.42941214420489e-15,1.42941214420489e-15,0,0.919563058589871,FALSE
296,1006,0.0809318216830779,0.0809318216830743,0.081223849772959,0.0812238493042999,0.0812238493042991,4.68659902552737e-10,7.91033905045424e-16,4.68659111518832e-10,0.91948310139165,FALSE
297,1005,0.0819351279828246,0.0819351279828251,0.0817620347297063,0.0817620347297063,0.0817620347297063,4.16333634234434e-17,2.77555756156289e-17,1.38777878078145e-17,0.920398009950249,FALSE
298,1004,0.082950798346687,0.0829507983466901,0.080063205354131,0.0800632048851645,0.0800632048851658,4.68965200006721e-10,1.29063426612674e-15,4.68966490640987e-10,0.920318725099602,FALSE
299,1003,0.0839789725515964,0.0839789725515961,0.0798137401148503,0.0798137401148503,0.0798137401148509,6.10622663543836e-16,6.10622663543836e-16,0,0.920239282153539,FALSE
300,1002,0.0850197915967634,0.0850197915967646,0.0778388261825506,0.0778388257132687,0.0778388257132685,4.69282057657949e-10,1.66533453693773e-16,4.69281891124496e-10,0.920159680638723,FALSE
301,1001,0.08607339770562,0.0860733977056203,0.077504919409095,0.077504919409095,0.0775049194090951,5.55111512312578e-17,5.55111512312578e-17,0,0.92007992007992,FALSE
